,ts,id,Gx,Gy,Gz,Ax,Ay,Az
511,68419,IMU1,21,-41,1,-4,-43,1087
512,68429,IMU0,176,-73,-81,58,24,1083
513,68429,IMU1,23,-59,1,-9,-41,1092
514,68439,IMU0,177,-100,-89,48,52,1082
515,68439,IMU1,23,-88,-7,-20,-10,1090
516,68449,IMU0,178,-105,-97,40,77,1078
517,68449,IMU1,25,-93,-11,-24,13,1083
518,68459,IMU0,176,-86,-72,47,70,1071
519,68459,IMU1,23,-74,15,-14,2,1076
520,68469,IMU0,180,-48,-34,63,46,1061
521,68469,IMU1,20,-32,50,1,-22,1067
522,68479,IMU0,172,6,-18,89,20,1059
523,68479,IMU1,14,22,71,24,-50,1068
524,68489,IMU0,173,62,-12,101,-11,1057
525,68489,IMU1,11,77,77,33,-81,1066
526,68499,IMU0,169,96,-26,106,-33,1073
527,68499,IMU1,7,109,60,34,-101,1079
528,68509,IMU0,161,119,-55,89,-8,1075
529,68509,IMU1,6,132,32,18,-73,1079
530,68519,IMU0,157,139,-69,83,5,1076
531,68519,IMU1,2,153,19,16,-61,1078
532,68529,IMU0,157,138,-72,62,16,1090
533,68529,IMU1,1,148,17,-6,-52,1093
534,68539,IMU0,157,107,-75,60,19,1073
535,68539,IMU1,5,118,12,-7,-46,1087
536,68549,IMU0,159,92,-75,58,20,1076
537,68549,IMU1,6,104,9,-11,-46,1091
538,68559,IMU0,162,70,-76,51,21,1078
539,68559,IMU1,7,80,7,-15,-46,1091
540,68569,IMU0,169,36,-82,51,22,1077
541,68569,IMU1,12,45,4,-17,-45,1090
542,68579,IMU0,170,4,-80,54,23,1074
543,68579,IMU1,17,13,3,-12,-44,1086
544,68589,IMU0,179,-15,-84,60,24,1073
545,68589,IMU1,20,-3,5,-5,-41,1083
546,68599,IMU0,176,-11,-77,63,26,1072
547,68599,IMU1,20,2,8,-1,-39,1081
548,68609,IMU0,176,-7,-63,67,30,1072
549,68609,IMU1,18,7,20,3,-36,1082
550,68619,IMU0,173,-9,-42,68,37,1074
551,68619,IMU1,17,5,42,7,-25,1084
